,0,1,2
!!!,0.043715416462957915,-0.001401973445568624,0.01067683773151266
RT,0.016162893235318394,0.0014543543535275422,0.0008091177470111704
@,0.034743378168781466,1.8846327154391558e-05,0.01689701155156164
mayasolovely,,,
:,0.002242365244295105,0.0020945170695441787,0.004309840447354676
As,0.004858109812713595,0.00044524303281636676,0.005503604263059843
a,0.0075406486645444495,0.002396511829776694,0.0015010302968340198
woman,-0.09236624881310224,0.03132515247808964,-0.14023101883327715
you,0.11452192446895053,-0.0014044230359021126,-0.006811833719849912
shouldn,,,
',-0.018266052501967674,0.0010546948107438565,0.008092735717847223
t,0.005516610305425743,0.0001155760030290857,0.002844444037366993
complain,-0.07920196994432116,-0.004915278476956556,0.020590882486056283
about,-0.011505964721762118,0.000998956020617273,0.02813900926695865
cleaning,,,
up,0.00452161935020391,0.004703953872483301,-0.005719533037122783
your,0.08858566597538581,0.008339624737238543,-0.00786019953303396
house,-0.03982692375492398,0.00011943708665210758,0.05494902260786202
.,-0.012446877081880635,0.0028658035168135287,0.0029658167773467755
&,-0.038636359303975104,0.002795877076153193,0.016188413489560866
amp,0.009033351601893622,0.00018053723233395463,0.005868840335134725
;,-0.00872757364805747,0.0012938082195735042,0.004691649914587221
as,-0.044768120445868774,0.00475973864457426,0.004575064142170404
man,0.09161946785035206,-0.0011296713035330319,-0.007992494652050444
should,0.0022692012646727453,0.004244472343287859,0.004264857623407672
always,-0.0029637270649772087,0.0032893214146459656,0.018185954785426256
take,0.024491281113932884,-0.00494577110462395,0.02071955521679342
the,-0.004512212872998006,0.0014640610989583324,0.009933572510495354
trash,0.43055892929671125,0.010841963765849477,0.006218548336436468
out,-0.011595302443807217,0.0024654489557447523,0.0015057460588109477
...,-0.12419139559005016,0.008604421547638009,0.014479533422546686
!!!!!,0.02435029506807629,-0.00894677882352346,-0.0027507122822735836
mleew17,,,
boy,0.11583990194440627,0.03588488525196943,0.02442935881763058
dats,,,
cold,0.16347811219991226,-0.037663168133513454,0.2151182534997598
tyga,,,
dwn,,,
bad,0.02502190464727532,0.0002488686691041906,0.014877288628173772
for,-0.021278883797381062,0.0019187536330789981,0.010057213975953487
cuffin,,,
dat,0.015125096966798007,0.0008596148335474019,0.03019186052324312
hoe,-0.48274902291316246,1.5104467475434928,-1.8859964813907397
in,-0.0018523868649366801,0.0034655673596394173,0.007322515181452128
1st,0.10313709451946929,-6.582395691887945e-05,-0.008071442743608066
place,0.06336309940693743,0.0004836955074269173,0.0005978001824744212
!!,0.05479272336819925,-0.0017208822119743554,-0.0004919658405185854
!!!!!!!,,,
UrKindOfBrand,,,
Dawg,,,
!!!!,0.2579343927414577,-0.0009051054574427519,0.027429761063678143
80sbaby4life,0.05891554565975865,-0.0048140227890183275,-0.00955192446263382
You,0.15580628432841095,0.0003980622038076447,-0.02558065115839551
ever,-0.0010176547789341739,0.001695784437732112,0.0026974414104013827
fuck,0.42745309049541486,0.20677511128763124,
bitch,-0.5614079655952294,1.798473530272507,-7.270076261698139
and,-0.04885579096427678,0.0041892208891476474,0.019696902821199517
she,-0.02417690421424061,0.0025311481367103904,-0.014157059183963575
start,-0.02339368423131477,-0.001670688404666876,0.004908251433767449
to,0.019375198199889143,0.0015015729043644517,0.01255018305472879
cry,0.007048290741240526,-0.0019673563964062567,-0.000461380984925565
?,0.014350037512507522,0.0014596942084407947,0.0115614146541981
be,0.010357903199018725,-0.00023846958307901527,0.017212431953222404
confused,0.025541234337612313,-0.005315516243557629,-4.967806126867508e-05
shit,-0.002905998246975013,0.43220569159418515,-1.5969998419491964
!!!!!!!!!,,,
C_G_Anderson,,,
viva_based,,,
look,0.01186600002900901,-0.0018618284535161244,0.029781020104359037
like,0.022132678101802715,0.0030649732373027668,0.003331319425385526
tranny,0.9466645267943831,0.5324592281134669,-0.24787287948943018
!!!!!!!!!!!!!,,,
ShenikaRoberts,,,
The,-0.04490875842228356,0.0015206224090379573,0.003007927436348316
hear,-0.012218034848217763,0.001511258071740103,0.003929510956935156
me,0.0032817978661935504,0.0024302014257829166,0.02447611227942423
might,-0.07998686055537148,0.003289564953187273,0.012290234196160443
true,-0.024681460681464974,-0.013856650298385302,0.004747202371093604
or,-0.03740319123955071,0.0013763797982123654,0.03147354123782788
it,-0.009560955879244621,0.0017913614859187427,0.010704045250615312
faker,,,
than,-0.023444646095031486,0.0036258394297472114,0.007972804254165867
who,0.007743799198610089,-0.0005061476272282282,0.0030723010685494863
told,0.01884544281056355,-0.0005924146283788036,0.10236610851268249
ya,0.18940910499226044,0.002275627090000143,-0.061200550340588404
&#,-0.03852210009118989,0.002886422335687166,0.008445704997817044
57361,,,
"!!!!!!!!!!!!!!!!!!""@",,,
T_Madison_x,,,
just,-0.019897357399409194,0.00420547563509565,0.012217482800407613
blows,,,
..,-0.08865131847995904,0.003912190300942155,0.014795159347266006
claim,0.005845658834049139,-0.0023455432363771594,0.01464913205608321
so,-0.02104733659194292,0.008355752232311508,0.006104462066825628
faithful,,,
down,-0.008394330037963115,0.001125951318009456,0.0004239085530399227
somebody,-0.02165558087397157,0.0062119735614232265,-0.030499096894307746
but,-0.050914117170082054,0.004106027047590625,0.013621351530450236
still,-0.03509701406227324,0.010625565965006877,0.011349175894154273
fucking,0.1821845396673585,0.39913260812364015,
with,-0.03257151912575873,0.0045652449544901965,0.010339314895339914
hoes,-0.41273928042653774,1.6477372380935882,-5.218449171920529
!,0.04820961248016206,-7.019944256185761e-05,0.00760789281504615
128514,0.017175512432143908,0.00020249945178796332,0.0026567669190223396
