,0,1,2
wears,,,
swinger,,,
binoculars,,,
allege,,,
Roger,,,
anything,,,
Nobody,,,
delicatessen,,,
Everybody,,,
around,,,
here,,,
ever,,,
buys,,,
credit,,,
remember,,,
name,,,
misgivings,,,
No,,,
writer,,,
playwright,,,
Vienna,,,
nor,,,
marry,,,
certain,,,
Felicia,,,
kicked,,,
off,,,
bench,,,
sent,,,
package,,,
halfway,,,
world,,,
basket,,,
offered,,,
Park,,,
Square,,,
festive,,,
air,,,
worker,,,
job,,,
forgive,,,
comment,,,
launched,,,
rocket,,,
moon,,,
blew,,,
there,,,
Sarah,,,
promised,,,
Catherine,,,
old,,,
car,,,
then,,,
son,,,
instead,,,
lent,,,
partway,,,
Tony,,,
farmer,,,
loaded,,,
cart,,,
apples,,,
dumped,,,
Martha,,,
carved,,,
baby,,,
toy,,,
wood,,,
bread,,,
cuts,,,
Janet,,,
broke,,,
finger,,,
cup,,,
visitor,,,
rang,,,
bell,,,
pulled,,,
movie,,,
shocks,,,
Sharon,,,
room,,,
acorn,,,
grow,,,
into,,,
oak,,,
turned,,,
frog,,,
mixed,,,
sugar,,,
butter,,,
Brian,,,
threw,,,
fence,,,
stick,,,
Mira,,,
condemned,,,
Terry,,,
accident,,,
investigated,,,
area,,,
bombs,,,
sensed,,,
eagerness,,,
praised,,,
dedication,,,
volunteers,,,
earth,,,
believed,,,
round,,,
smiled,,,
charming,,,
smile,,,
Sandra,,,
beamed,,,
cheerful,,,
welcome,,,
ve,,,
really,,,
lived,,,
Paperback,,,
books,,,
lift,,,
onto,,,
table,,,
lifted,,,
Jessica,,,
boxes,,,
under,,,
wagon,,,
crammed,,,
truck,,,
Lora,,,
buttered,,,
toast,,,
Carla,,,
shoveled,,,
walk,,,
Nora,,,
slid,,,
Amanda,,,
carried,,,
Pamela,,,
Packages,,,
drive,,,
New,,,
York,,,
chair,,,
pushed,,,
Brown,,,
presented,,,
plaque,,,
Jones,,,
Carmen,,,
bought,,,
dress,,,
obtained,,,
spare,,,
part,,,
hardware,,,
store,,,
Michelle,,,
kept,,,
desk,,,
Frances,,,
hid,,,
presents,,,
drawer,,,
needle,,,
poked,,,
cloth,,,
Carrie,,,
touched,,,
cat,,,
Herman,,,
whipped,,,
cream,,,
Linda,,,
taped,,,
picture,,,
wall,,,
child,,,
clung,,,
together,,,
flyer,,,
differ,,,
apart,,,
jeweller,,,
scribbled,,,
contract,,,
gardener,,,
grew,,,
shaped,,,
loaf,,,
children,,,
amused,,,
whispered,,,
Rachel,,,
Ellen,,,
melons,,,
selling,,,
well,,,
present,,,
conditions,,,
warned,,,
Helen,,,
skating,,,
thin,,,
ice,,,
Cynthia,,,
nibbled,,,
carrot,,,
chewed,,,
Paul,,,
laughed,,,
winked,,,
lip,,,
heart,,,
pounding,,,
fainted,,,
hunger,,,
witch,,,
poisoned,,,
grandfather,,,
clock,,,
ticked,,,
hallway,,,
squeaked,,,
door,,,
Over,,,
fragrant,,,
stew,,,
Soaring,,,
temperatures,,,
predicted,,,
weekend,,,
fluttered,,,
many,,,
flags,,,
voices,,,
echoed,,,
hall,,,
stream,,,
twists,,,
through,,,
valley,,,
wonderful,,,
opportunity,,,
Out,,,
jumped,,,
little,,,
white,,,
rabbit,,,
Penny,,,
skated,,,
rink,,,
Jackie,,,
accompanied,,,
Rose,,,
information,,,
provided,,,
offers,,,
advice,,,
cake,,,
delicious,,,
recommend,,,
pastry,,,
explode,,,
Wash,,,
!,,,
Some,,,
jobs,,,
jeopardy,,,
policeman,,,
met,,,
several,,,
young,,,
students,,,
park,,,
last,,,
night,,,
meet,,,
monkeys,,,
proud,,,
their,,,
leader,,,
sounded,,,
very,,,
don,,,
agree,,,
called,,,
fool,,,
forgot,,,
how,,,
tastes,,,
genius,,,
friend,,,
remained,,,
noodle,,,
quietly,,,
smith,,,
hammered,,,
metal,,,
Sandy,,,
removed,,,
ballet,,,
shoes,,,
week,,,
us,,,
Benny,,,
worked,,,
shoe,,,
when,,,
Everyone,,,
hoped,,,
sing,,,
proved,,,
decisive,,,
factor,,,
crocodile,,,
devoured,,,
doughnut,,,
afraid,,,
bathtub,,,
placed,,,
Kim,,,
behind,,,
garage,,,
depends,,,
taught,,,
English,,,
Syntax,,,
new,,,
regards,,,
chickens,,,
seem,,,
fond,,,
rules,,,
require,,,
executives,,,
polite,,,
unpopular,,,
nominated,,,
taking,,,
look,,,
possible,,,
FTA,,,
paid,,,
committee,,,
study,,,
feasibility,,,
setting,,,
national,,,
computer,,,
network,,,
them,,,
rude,,,
After,,,
reading,,,
pamphlet,,,
Judy,,,
garbage,,,
Students,,,
studying,,,
reads,,,
Conrad,,,
Heart,,,
Darkness,,,
while,,,
university,,,
rotten,,,
Neither,,,
failed,,,
drank,,,
golden,,,
hair,,,
doorway,,,
waved,,,
dog,,,
so,,,
ferocious,,,
bite,,,
yourself,,,
seemed,,,
intelligent,,,
Stephen,,,
fountain,,,
tries,,,
country,,,
Under,,,
bed,,,
fun,,,
hide,,,
sheep,,,
hope,,,
France,,,
kick,,,
tomorrow,,,
expect,,,
found,,,
office,,,
Did,,,
school,,,
town,,,
tour,,,
art,,,
galleries,,,
needn,,,
take,,,
exam,,,
Ann,,,
spend,,,
vacation,,,
Italy,,,
golf,,,
George,,,
spent,,,
hasn,,,
statesman,,,
scarcely,,,
worth,,,
mentioning,,,
unicorns,,,
One,,,
Korea,,,
famous,,,
poets,,,
wrote,,,
lines,,,
Somebody,,,
apparently,,,
struck,,,
unidentified,,,
victim,,,
during,,,
early,,,
morning,,,
hours,,,
driven,,,
Ricky,,,
relied,,,
slept,,,
pound,,,
weighed,,,
think,,,
five,,,
thousand,,,
dollars,,,
Fed,,,
politician,,,
vote,,,
guess,,,
fixed,,,
whose,,,
efforts,,,
achieve,,,
peace,,,
honor,,,
house,,,
your,,,
baker,,,
whom,,,
bagels,,,
relax,,,
Jack,,,
person,,,
Jenny,,,
fell,,,
sit,,,
grows,,,
peaches,,,
topic,,,
choose,,,
without,,,
getting,,,
approval,,,
bored,,,
reason,,,
why,,,
resigned,,,
bothers,,,
coughs,,,
To,,,
invaded,,,
Iraq,,,
bites,,,
annoys,,,
Fido,,,
barks,,,
achieved,,,
best,,,
result,,,
Angela,,,
peasant,,,
kind,,,
anyone,,,
owl,,,
doesn,,,
hunt,,,
mice,,,
Each,,,
candidate,,,
interest,,,
semantics,,,
admitted,,,
department,,,
author,,,
contribution,,,
written,,,
language,,,
other,,,
provide,,,
summary,,,
tickets,,,
sympathy,,,
urban,,,
guerillas,,,
helped,,,
isn,,,
bad,,,
angry,,,
hungry,,,
whined,,,
party,,,
Because,,,
pleasant,,,
Though,,,
hate,,,
those,,,
criticize,,,
Carter,,,
matter,,,
With,,,
happy,,,
much,,,
manuscript,,,
type,,,
